Designator,Footprint,Quantity,Value,LCSC Part #
ANT0,ANT-SMD_L12.0-W4.0_ACAG1204-915-T,1,ACAG1204-433-T,C6113830
BUZZER1,Buzzer MLT-8530,1,MLT-8530,C94599
"C1, C12, C15, C16, C19, C2, C20, C3, C4, C42, C43, C44, C5, C6, C7, C8, C9",0402,17,100nf,C1525
"C10, C11",0402,2,15pf,C1548
"C13, C14",0402,2,1uf,C52923
"C17, C18",0402,2,27pf,C1557
"C21, C26",0402,2,220pf,C1530
"C22, C23",0402,2,3.9pf,C505474
C24,0402,1,8.2pf,C1579
C25,0402,1,5.6pf,C76976
"C27, C28",0805,2,4.7uF,C1779
"C29, C30, C31, C32, C33, C34, C35, C36",0805,8,1uf,C28323
"C37, C38",0805,2,10uf,C15850
"C39, C40, C41",0805,3,47uf,C16780
D1,D_SOD-123,1,1N4148,C81598
"D2, D3, D4, D5",D_SOD-123,4,MBR0530,C5204746
D6,0603,1,Red,C965799
D7,0603,1,Green,C965804
H1,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,1,WAFER-PH2.0-2PWB,C3029440
J1,USB-C_C165948,1,USB_C_Receptacle_USB2.0_14P,C165948
J4,FPC_24,1,AFC07-S24ECA-00,C262643
J5,MicroSD TF-115-BCP9,1,Micro_SD_Card_Det1,C720505
"L1, L2, L4",0402,3,27nH,C12669
L3,0402,1,22nH,C15178
L6,L_Ferrocore_DLG-0403,1,10uH 1A,C2929419
L7,L_APV_ANR4012,1,2.2µH,C28642347
"LED1, LED2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B,C965555
Q1,SOT-23,1,2N7002,C8545
Q2,SOT-323_SC-70,1,SI1308EDL,C7603347
Q3,SOT-23,1,SI2301,C2891731
"R1, R2",0402,2,27R4,C321420
"R10, R11, R12, R13, R17, R22, R23, R4",0402,8,10K,C25744
R14,0402,1,330R,C25104
R15,0402,1,56K,C25796
"R16, R3, R8",0402,3,1K,C11702
R18,0402,1,3R,C2933093
"R19, R27",0402,2,2K4,C25882
R20,1206,1,0R1,C25334
R21,0805,1,1.2K,C17379
"R24, R26, R31, R35, R7, R9",0402,6,100K,C25741
R25,0402,1,200K,C25764
R28,0402,1,1M,C2909328
R29,0402,1,178K,C3013156
R30,0402,1,100R,C2906884
"R32, R33, R34",0402,3,4.7K,C2906941
"R5, R6",0402,2,5K1,C25905
"SAO0, SAO1",C22373944_HDR-SMD_6P-P2_54-V-F-R2-C3-LS7_1,2,HC-PM254-8.5H-2X3PS,C22373944
"SW1, SW6",SW_Push_1P1T_XKB_TS-1187A,2,TS-1187A-B-A-B,C318884
"SW2, SW3",K2-1112SW-A4SW-04,2,K2-1112SW-A4SW-04,C223811
"SW4, SW5",SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,2,XDTD-6650,C7498208
SW7,SPDT SMD slide switch,1,SW_SPDT,C109335
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC139,C5603
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C97521
U4,QFN-20-1EP_L4.0-W4.0-P0.5-EP2.4,1,CC1101RGPR,C29953
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C725790
U6,Texas_DRC0010J,1,TPS63000,C24966
U7,SOT-23-5,1,LM321,C2927688
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
X2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,26MHz,C479205
