Designator,Mid X,Mid Y,Rotation,Layer
ANT0,121.0,-59.3,90.0,bottom
BUZZER1,92.15,-48.948333,270.0,bottom
C1,97.35,-64.0,135.0,bottom
C10,99.339411,-75.098589,45.0,bottom
C11,104.060589,-74.539412,135.0,bottom
C12,90.45,-56.3,180.0,bottom
C13,97.4,-57.448333,270.0,bottom
C14,98.4,-57.448333,270.0,bottom
C15,120.4,-97.08,90.0,bottom
C16,119.27,-80.712497,0.0,bottom
C17,116.614,-80.518,180.0,bottom
C18,116.02,-75.25,0.0,bottom
C19,86.114908,-51.63774,311.0,bottom
C2,99.756131,-66.598333,135.0,bottom
C20,112.139411,-48.460589,315.0,bottom
C21,118.4,-73.92,270.0,bottom
C22,121.88,-74.4,180.0,bottom
C23,120.0,-72.92,90.0,bottom
C24,122.52,-71.0,180.0,bottom
C25,119.52,-68.0,0.0,bottom
C26,121.0,-67.52,270.0,bottom
C27,115.0,-86.05,90.0,bottom
C28,115.0,-89.55,90.0,bottom
C29,96.2,-91.5,90.0,bottom
C3,100.406131,-65.248333,45.0,bottom
C30,104.2,-91.5,270.0,bottom
C31,102.2,-91.5,270.0,bottom
C32,100.2,-91.5,90.0,bottom
C33,98.2,-91.5,270.0,bottom
C34,94.2,-91.5,270.0,bottom
C35,92.2,-91.5,90.0,bottom
C36,90.2,-91.5,270.0,bottom
C37,78.232,-97.724,90.0,bottom
C38,77.9,-86.5,270.0,bottom
C39,79.125,-81.25,180.0,bottom
C4,102.022589,-63.414589,45.0,bottom
C40,80.95,-71.55,0.0,bottom
C41,80.92,-69.55,0.0,bottom
C42,80.45,-68.1,0.0,bottom
C43,75.85,-81.25,270.0,bottom
C44,118.0,-110.208,90.0,bottom
C5,99.4,-57.448333,90.0,bottom
C6,96.056131,-57.448333,90.0,bottom
C7,95.056131,-57.448333,90.0,bottom
C8,101.106131,-64.548333,225.0,bottom
C9,94.056131,-57.448333,270.0,bottom
D1,98.4,-46.4,270.0,bottom
D2,73.7,-98.4,270.0,bottom
D3,109.45,-80.65,0.0,bottom
D4,109.45,-78.25,180.0,bottom
D5,111.5,-84.5,180.0,bottom
D6,67.0,-101.5,180.0,top
D7,67.0,-103.5,180.0,top
H1,76.0,-114.1,180.0,bottom
J1,67.391131,-102.448333,90.0,bottom
J4,100.0,-86.44,180.0,bottom
J5,124.825,-108.3,270.0,bottom
L1,122.0,-72.885,90.0,bottom
L2,120.015,-74.4,0.0,bottom
L3,121.0,-71.485,90.0,bottom
L4,121.0,-69.485,90.0,bottom
L6,111.5,-88.575,90.0,bottom
L7,84.4,-77.5,270.0,bottom
LED1,85.5,-49.7,229.0,top
LED2,114.2,-49.7,131.0,top
Q1,101.6,-46.2,180.0,bottom
Q2,107.25,-90.5,90.0,bottom
Q3,80.9875,-84.0,0.0,bottom
R1,93.327812,-60.497151,180.0,bottom
R10,127.09,-75.8,180.0,bottom
R11,73.2,-78.0,90.0,bottom
R12,79.0,-139.49,90.0,bottom
R13,121.0,-139.31,90.0,bottom
R14,83.8,-51.0,41.0,bottom
R15,124.6,-77.71,270.0,bottom
R16,102.639376,-70.839376,45.0,bottom
R17,108.2,-92.8,180.0,bottom
R18,106.2,-92.8,0.0,bottom
R19,79.504,-91.44,180.0,bottom
R2,93.327812,-59.497151,0.0,bottom
R20,76.0,-98.2365,270.0,bottom
R21,69.85,-90.662,270.0,bottom
R22,114.554,-160.528,180.0,bottom
R23,110.744,-160.528,180.0,bottom
R24,75.5,-87.45,180.0,bottom
R25,73.09,-87.45,180.0,bottom
R26,80.516,-86.36,0.0,bottom
R27,79.5,-90.424,180.0,bottom
R28,78.65,-74.25,270.0,bottom
R29,77.7,-74.25,90.0,bottom
R3,92.8,-63.69,270.0,bottom
R30,76.8,-81.25,270.0,bottom
R31,71.628,-96.772,270.0,bottom
R32,125.8,-99.6,90.0,bottom
R33,124.85,-99.6,90.0,bottom
R34,123.9,-99.6,90.0,bottom
R35,122.95,-99.6,90.0,bottom
R4,93.8,-63.71,270.0,bottom
R5,72.056131,-103.448333,270.0,bottom
R6,72.056131,-101.448333,270.0,bottom
R7,120.396,-85.346,90.0,bottom
R8,102.0,-49.0,180.0,bottom
R9,104.0,-45.31,90.0,bottom
SAO0,125.0,-130.0,270.0,bottom
SAO1,75.0,-130.0,270.0,bottom
SW1,124.8,-87.125,180.0,bottom
SW2,129.79621652671023,-78.63714432263707,155.5,bottom
SW3,70.20378388798302,-78.6371434126758,24.5,bottom
SW4,85.35,-140.65,0.0,top
SW5,114.65,-140.65,0.0,top
SW6,80.0,-57.0,0.0,bottom
SW7,67.55,-113.5,90.0,bottom
U1,100.071635,-64.851805,45.0,top
U2,126.0,-93.8,180.0,bottom
U3,89.011131,-61.535833,0.0,bottom
U4,121.2,-77.712497,90.0,bottom
U5,74.974631,-90.953333,90.0,bottom
U6,80.025,-77.475,0.0,bottom
U7,85.0,-85.0,90.0,bottom
X1,101.787868,-73.743503,315.0,bottom
X2,116.15,-77.85,90.0,bottom
