Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,100.056131,-48.948333,0.0,bottom
C1,97.35,-64.0,135.0,bottom
C10,103.656131,-71.648333,45.0,bottom
C11,107.756131,-71.148333,135.0,bottom
C12,90.45,-56.3,180.0,bottom
C13,99.056131,-57.448333,270.0,bottom
C14,100.056131,-57.448333,270.0,bottom
C15,120.0,-87.9,90.0,bottom
C16,113.5,-63.5,270.0,bottom
C17,113.706131,-66.798333,90.0,bottom
C18,108.406131,-66.098333,270.0,bottom
C19,87.2,-52.4,45.0,bottom
C2,99.756131,-66.598333,135.0,bottom
C20,114.0,-51.5,0.0,bottom
C21,102.6,-56.9,270.0,bottom
C22,108.1,-57.4,180.0,bottom
C23,105.6,-56.9,90.0,bottom
C24,108.8,-54.9,90.0,bottom
C25,112.096131,-54.9,90.0,bottom
C26,113.7,-55.4,0.0,bottom
C27,116.35,-81.7,90.0,bottom
C28,116.5,-88.65,90.0,bottom
C29,94.9,-91.5,90.0,bottom
C3,100.406131,-65.248333,45.0,bottom
C30,103.7,-91.5,270.0,bottom
C31,100.9,-91.5,270.0,bottom
C32,98.9,-91.5,90.0,bottom
C33,96.9,-91.5,270.0,bottom
C34,92.9,-91.5,270.0,bottom
C35,90.9,-91.5,90.0,bottom
C36,88.9,-91.5,270.0,bottom
C37,78.5,-98.05,90.0,bottom
C38,77.9,-86.5,270.0,bottom
C39,79.125,-81.25,180.0,bottom
C4,101.806131,-63.848333,45.0,bottom
C40,80.95,-71.55,0.0,bottom
C41,80.92,-69.55,0.0,bottom
C42,80.45,-68.1,0.0,bottom
C43,75.85,-81.25,270.0,bottom
C44,118.0,-107.97,90.0,bottom
C5,101.056131,-57.448333,90.0,bottom
C6,96.056131,-57.448333,90.0,bottom
C7,95.056131,-57.448333,90.0,bottom
C8,101.106131,-64.548333,225.0,bottom
C9,94.056131,-57.448333,270.0,bottom
D1,106.556131,-50.848333,270.0,bottom
D2,73.7,-98.4,270.0,bottom
D3,113.0,-80.5,0.0,bottom
D4,113.0,-78.2,180.0,bottom
D5,113.0,-82.8,180.0,bottom
D6,67.0,-101.5,180.0,top
D7,67.0,-103.5,180.0,top
H1,76.0,-114.1,180.0,bottom
J1,67.391131,-102.448333,90.0,bottom
J2,125.0,-130.0,0.0,bottom
J3,75.0,-130.0,0.0,bottom
J4,100.0,-86.44,180.0,bottom
J5,124.825,-103.5,270.0,bottom
L1,106.6,-56.9,90.0,bottom
L2,104.1,-57.4,0.0,bottom
L3,107.1,-55.4,180.0,bottom
L4,110.5,-55.4,180.0,bottom
L5,120.0,-60.7,270.0,bottom
L6,112.95,-88.0,90.0,bottom
L7,85.0,-77.5,270.0,bottom
LED1,85.5,-49.7,229.0,top
LED2,114.2,-49.7,131.0,top
Q1,111.0,-50.0,90.0,bottom
Q2,108.0,-90.5,90.0,bottom
Q3,80.9875,-84.0,0.0,bottom
R1,93.327812,-60.497151,180.0,bottom
R10,124.5,-76.55,180.0,bottom
R11,74.5,-76.0,90.0,bottom
R12,77.5,-140.0,180.0,bottom
R13,122.5,-140.0,0.0,bottom
R14,86.5,-53.05,45.0,bottom
R15,110.556131,-57.4,180.0,bottom
R16,107.85,-68.4,45.0,bottom
R17,110.1,-92.0,90.0,bottom
R18,106.0,-92.0,90.0,bottom
R19,79.5,-93.05,270.0,bottom
R2,93.327812,-59.497151,0.0,bottom
R20,76.0,-98.6,270.0,bottom
R21,84.8,-92.525,0.0,bottom
R22,122.5,-141.9,180.0,bottom
R23,122.5,-140.95,180.0,bottom
R24,75.5,-87.45,180.0,bottom
R25,72.81,-87.45,180.0,bottom
R26,80.05,-87.0,270.0,bottom
R27,80.5,-93.05,270.0,bottom
R28,78.65,-74.25,270.0,bottom
R29,77.7,-74.25,90.0,bottom
R3,92.806131,-62.698333,90.0,bottom
R30,76.8,-81.25,270.0,bottom
R31,71.75,-98.0,270.0,bottom
R32,125.85,-93.5,90.0,bottom
R33,124.9,-93.5,90.0,bottom
R34,123.95,-93.5,90.0,bottom
R35,123.0,-93.5,90.0,bottom
R4,93.806131,-62.698333,90.0,bottom
R5,72.056131,-103.448333,270.0,bottom
R6,72.056131,-101.448333,270.0,bottom
R7,124.5,-77.5,0.0,bottom
R8,108.406131,-49.498333,90.0,bottom
R9,110.6,-47.548333,180.0,bottom
SW1,120.0,-75.0,270.0,bottom
SW2,127.65234752671022,-74.58547732263706,65.5,bottom
SW3,72.45991488798302,-74.5854764126758,294.5,bottom
SW4,85.35,-140.65,0.0,top
SW5,114.65,-140.65,0.0,top
SW6,80.0,-57.0,0.0,bottom
SW7,67.55,-113.5,90.0,bottom
U1,100.071635,-64.851805,135.0,top
U2,126.025,-84.975,180.0,bottom
U3,89.011131,-61.535833,0.0,bottom
U4,110.55613,-60.928333,90.0,bottom
U5,74.974631,-90.953333,90.0,bottom
U6,80.025,-77.475,0.0,bottom
U7,85.0,-85.0,0.0,bottom
X1,105.756131,-70.048333,315.0,bottom
X2,111.056131,-66.448333,0.0,bottom
